Resource Type,Plain Text,Check Type,Check Template,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
azurerm_firewall_network_rule_collection,"If both azurerm_firewall_network_rule_collection.a.azure_firewall_name and azurerm_firewall_network_rule_collection.b.azure_firewall_name depends on azurerm_firewall.c, Then azurerm_firewall_network_rule_collection.a.name != azurerm_firewall_network_rule_collection.b.name",COMBO,BranchThenUnequalCombo,azurerm_firewall_network_rule_collection.azure_firewall_name == String,azurerm_firewall_network_rule_collection.azure_firewall_name == String,azurerm_firewall.name == String,azurerm_firewall.name == String,azurerm_firewall_network_rule_collection.name == String,azurerm_firewall_network_rule_collection.name == String,,
azurerm_firewall_network_rule_collection,"If both azurerm_firewall_network_rule_collection.a.azure_firewall_name and azurerm_firewall_network_rule_collection.b.azure_firewall_name depends on azurerm_firewall.c, Then azurerm_firewall_network_rule_collection.a.priority != azurerm_firewall_network_rule_collection.b.priority",COMBO,BranchThenUnequalCombo,azurerm_firewall_network_rule_collection.azure_firewall_name == String,azurerm_firewall_network_rule_collection.azure_firewall_name == String,azurerm_firewall.name == String,azurerm_firewall.name == String,azurerm_firewall_network_rule_collection.priority == String,azurerm_firewall_network_rule_collection.priority == String,,
azurerm_lb,"If azurerm_lb.a.frontend_ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_lb.a is the only resource that directly depends on azurerm_public_ip.b",TOPO,ReferenceThenExclusive,azurerm_lb.frontend_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_lb.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,,,,
azurerm_lb,"If azurerm_lb.a.frontend_ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.ip_version == IPv4",COMBO,ReferenceThenConstantComboUp,azurerm_lb.frontend_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.ip_version == IPv4,,,,,
azurerm_lb,"If azurerm_lb.a.frontend_ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.delegation is null or empty",COMBO,ReferenceThenAbsenceComboUp,azurerm_lb.frontend_ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.delegation == Absence,,,,,
azurerm_lb_backend_address_pool,"If azurerm_lb_backend_address_pool.a.loadbalancer_id depends on azurerm_lb.b.id, Then azurerm_lb.b.frontend_ip_configuration is not null nor empty",COMBO,ReferenceThenExistenceComboUp,azurerm_lb_backend_address_pool.loadbalancer_id == String,azurerm_lb.id == String,azurerm_lb.frontend_ip_configuration == Existence,,,,,
azurerm_lb_backend_address_pool,"If azurerm_public_ip.b and azurerm_public_ip.c connected or associated with each other via azurerm_lb_backend_address_pool.a, Then azurerm_public_ip.a.location == azurerm_public_ip.b.location",COMBO,AncestorAssociateThenEqualCombo,azurerm_lb_backend_address_pool.PLACEHOLDER == String,azurerm_lb_backend_address_pool.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.location == String,azurerm_public_ip.location == String,,
azurerm_lb_backend_address_pool,"If azurerm_public_ip.b and azurerm_public_ip.c connected or associated with each other via azurerm_lb_backend_address_pool.a, Then azurerm_public_ip.a.sku == azurerm_public_ip.b.sku",COMBO,AncestorAssociateThenEqualCombo,azurerm_lb_backend_address_pool.PLACEHOLDER == String,azurerm_lb_backend_address_pool.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.sku == String,azurerm_public_ip.sku == String,,
azurerm_lb_nat_pool,"If azurerm_lb_nat_pool.a.loadbalancer_id depends on azurerm_lb.b.id, Then azurerm_lb.b.frontend_ip_configuration is not null nor empty",COMBO,ReferenceThenExistenceComboUp,azurerm_lb_nat_pool.loadbalancer_id == String,azurerm_lb.id == String,azurerm_lb.frontend_ip_configuration == Existence,,,,,
azurerm_lb_nat_rule,"If both azurerm_lb_nat_rule.a.resource_group_name and azurerm_lb_nat_rule.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_lb_nat_rule.a.frontend_port != azurerm_lb_nat_rule.b.frontend_port",COMBO,BranchThenUnequalCombo,azurerm_lb_nat_rule.resource_group_name == String,azurerm_lb_nat_rule.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_lb_nat_rule.frontend_port == String,azurerm_lb_nat_rule.frontend_port == String,,
azurerm_lb_probe,"If azurerm_lb_probe.a has an ancestor resource azurerm_public_ip.b, Then there is azurerm_public_ip.b.sku_tier == Regional",COMBO,AncestorReferenceThenConstantComboUp,azurerm_lb_probe.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.sku_tier == Regional,,,,,
azurerm_lb_probe,"If both azurerm_lb_probe.a.loadbalancer_id and azurerm_lb_probe.b.loadbalancer_id depends on azurerm_lb.c, Then azurerm_lb_probe.a.name != azurerm_lb_probe.b.name",COMBO,BranchThenUnequalCombo,azurerm_lb_probe.loadbalancer_id == String,azurerm_lb_probe.loadbalancer_id == String,azurerm_lb.id == String,azurerm_lb.id == String,azurerm_lb_probe.name == String,azurerm_lb_probe.name == String,,
azurerm_linux_virtual_machine,"If azurerm_linux_virtual_machine.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_linux_virtual_machine.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_linux_virtual_machine.location == String,azurerm_virtual_network.location == String,,,,
azurerm_linux_virtual_machine,"If azurerm_linux_virtual_machine.a.eviction_policy is not null nor empty, Then there is azurerm_linux_virtual_machine.a.priority == Spot",ATTR,ExistenceThenConstant,azurerm_linux_virtual_machine.eviction_policy == Existence,azurerm_linux_virtual_machine.priority == Spot,,,,,,
azurerm_linux_virtual_machine,"If azurerm_linux_virtual_machine.a.network_interface_ids depends on azurerm_network_interface.b.id, Then azurerm_network_interface.b could only have a single azurerm_linux_virtual_machine that is azurerm_linux_virtual_machine.a",TOPO,ReferenceThenConflictChild,azurerm_linux_virtual_machine.network_interface_ids == String,azurerm_network_interface.id == String,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == String,,,,
azurerm_linux_virtual_machine,"If azurerm_linux_virtual_machine.a.network_interface_ids depends on azurerm_network_interface.b.id, Then there is azurerm_network_interface.b.enable_accelerated_networking == false",COMBO,ReferenceThenConstantComboUp,azurerm_linux_virtual_machine.network_interface_ids == String,azurerm_network_interface.id == String,azurerm_network_interface.enable_accelerated_networking == false,,,,,
azurerm_linux_virtual_machine,"If both azurerm_linux_virtual_machine.a.resource_group_name and azurerm_linux_virtual_machine.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_linux_virtual_machine.a.name != azurerm_linux_virtual_machine.b.name",COMBO,BranchThenUnequalCombo,azurerm_linux_virtual_machine.resource_group_name == String,azurerm_linux_virtual_machine.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_linux_virtual_machine.name == String,azurerm_linux_virtual_machine.name == String,,
azurerm_linux_virtual_machine,"If both azurerm_network_interface.b and azurerm_network_interface.c are directly connected to azurerm_linux_virtual_machine.a, Then some azurerm_virtual_network.d has both azurerm_network_interface.b and azurerm_network_interface.c",TOPO,AssociateThenAncestorBranch,azurerm_linux_virtual_machine.network_interface_ids == String,azurerm_linux_virtual_machine.network_interface_ids == String,azurerm_network_interface.id == String,azurerm_network_interface.id == String,azurerm_network_interface.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.disable_password_authentication == true, Then azurerm_linux_virtual_machine.a.admin_ssh_key is not null nor empty",ATTR,ConstantThenExistence,azurerm_linux_virtual_machine.disable_password_authentication == true,azurerm_linux_virtual_machine.admin_ssh_key == Existence,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_A1_v2, Then the number of azurerm_network_interface that azurerm_linux_virtual_machine.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_linux_virtual_machine.size == Standard_A1_v2,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == 2,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_B1s, Then the number of azurerm_network_interface that azurerm_linux_virtual_machine.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_linux_virtual_machine.size == Standard_B1s,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == 2,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_D1_v2, Then the number of azurerm_network_interface that azurerm_linux_virtual_machine.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_linux_virtual_machine.size == Standard_D1_v2,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == 2,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_D1_v2, Then there cannot be azurerm_linux_virtual_machine.a.os_disk.storage_account_type == Premium_LRS",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.size == Standard_D1_v2,azurerm_linux_virtual_machine.os_disk.storage_account_type == Premium_LRS,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_D2_v2, Then there cannot be azurerm_linux_virtual_machine.a.os_disk.storage_account_type == Premium_LRS",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.size == Standard_D2_v2,azurerm_linux_virtual_machine.os_disk.storage_account_type == Premium_LRS,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_D2s_v3, Then the number of azurerm_network_interface that azurerm_linux_virtual_machine.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_linux_virtual_machine.size == Standard_D2s_v3,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == 2,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_D4as_v5, Then the number of azurerm_network_interface that azurerm_linux_virtual_machine.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_linux_virtual_machine.size == Standard_D4as_v5,azurerm_linux_virtual_machine.PLACEHOLDER == String,azurerm_network_interface.PLACEHOLDER == 2,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.size == Standard_F1, Then there cannot be azurerm_linux_virtual_machine.a.os_disk.storage_account_type == Premium_LRS",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.size == Standard_F1,azurerm_linux_virtual_machine.os_disk.storage_account_type == Premium_LRS,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == 18_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.offer == 0001-com-ubuntu-server-jammy",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == 18_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.offer == 0001-com-ubuntu-server-jammy,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == 18_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.publisher == cognosys",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == 18_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.publisher == cognosys,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == 20_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.publisher == cognosys",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == 20_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.publisher == cognosys,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == 20_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.publisher == Debian",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == 20_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.publisher == Debian,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == 22_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.offer == CentOS",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == 22_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.offer == CentOS,,,,,,
azurerm_linux_virtual_machine,"If there is azurerm_linux_virtual_machine.a.source_image_reference.sku == minimal-22_04-lts-gen2, Then there cannot be azurerm_linux_virtual_machine.a.source_image_reference.offer == 0001-com-ubuntu-server-jammy",ATTR,ConstantThenNonConstant,azurerm_linux_virtual_machine.source_image_reference.sku == minimal-22_04-lts-gen2,azurerm_linux_virtual_machine.source_image_reference.offer == 0001-com-ubuntu-server-jammy,,,,,,
azurerm_local_network_gateway,"If azurerm_local_network_gateway.a.resource_group_name depends on azurerm_resource_group.b.name, Then azurerm_local_network_gateway.a.gateway_address is not null nor empty",COMBO,ReferenceThenExistenceComboDown,azurerm_local_network_gateway.resource_group_name == String,azurerm_resource_group.name == String,azurerm_local_network_gateway.gateway_address == Existence,,,,,
azurerm_managed_disk,"If azurerm_managed_disk.a.source_resource_id depends on azurerm_managed_disk.b.id, Then azurerm_managed_disk.a.name != azurerm_managed_disk.b.name",COMBO,ReferenceThenUnequalCombo,azurerm_managed_disk.source_resource_id == String,azurerm_managed_disk.id == String,azurerm_managed_disk.name == String,azurerm_managed_disk.name == String,,,,
azurerm_mssql_database,"If azurerm_mssql_database.a.creation_source_database_id depends on azurerm_mssql_database.b.id, Then azurerm_mssql_database.a.create_mode != azurerm_mssql_database.b.create_mode",COMBO,ReferenceThenUnequalCombo,azurerm_mssql_database.creation_source_database_id == String,azurerm_mssql_database.id == String,azurerm_mssql_database.create_mode == String,azurerm_mssql_database.create_mode == String,,,,
azurerm_mssql_database,"If there is azurerm_mssql_database.a.create_mode == Secondary, Then azurerm_mssql_database.a.creation_source_database_id depends on azurerm_mssql_database.b.id",COMBO,ConstantComboDownThenReference,azurerm_mssql_database.create_mode == Secondary,azurerm_mssql_database.creation_source_database_id == String,azurerm_mssql_database.id == String,,,,,
azurerm_mssql_database,"If there is azurerm_mssql_database.a.sku_name == Basic, Then there cannot be azurerm_mssql_database.a.zone_redundant == True",ATTR,ConstantThenNonConstant,azurerm_mssql_database.sku_name == Basic,azurerm_mssql_database.zone_redundant == True,,,,,,
azurerm_mssql_database,"If there is azurerm_mssql_database.a.sku_name == S0, Then there cannot be azurerm_mssql_database.a.read_scale == True",ATTR,ConstantThenNonConstant,azurerm_mssql_database.sku_name == S0,azurerm_mssql_database.read_scale == True,,,,,,
azurerm_mssql_database,"If there is azurerm_mssql_database.a.sku_name == S1, Then there cannot be azurerm_mssql_database.a.read_scale == True",ATTR,ConstantThenNonConstant,azurerm_mssql_database.sku_name == S1,azurerm_mssql_database.read_scale == True,,,,,,
azurerm_mssql_database,"If there is azurerm_mssql_database.a.sku_name == S3, Then there cannot be azurerm_mssql_database.a.read_scale == True",ATTR,ConstantThenNonConstant,azurerm_mssql_database.sku_name == S3,azurerm_mssql_database.read_scale == True,,,,,,
azurerm_mssql_server,"If both azurerm_mssql_server.a.resource_group_name and azurerm_mssql_server.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_mssql_server.a.name != azurerm_mssql_server.b.name",COMBO,BranchThenUnequalCombo,azurerm_mssql_server.resource_group_name == String,azurerm_mssql_server.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_mssql_server.name == String,azurerm_mssql_server.name == String,,
azurerm_nat_gateway_public_ip_association,"If azurerm_nat_gateway_public_ip_association.a.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku == Standard",COMBO,ReferenceThenConstantComboUp,azurerm_nat_gateway_public_ip_association.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku == Standard,,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_network_interface.a.location == azurerm_public_ip.b.location",COMBO,ReferenceThenEqualCombo,azurerm_network_interface.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_network_interface.location == String,azurerm_public_ip.location == String,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_public_ip.b could only have a single azurerm_network_interface that is azurerm_network_interface.a",TOPO,ReferenceThenConflictChild,azurerm_network_interface.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_network_interface.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku_tier == Regional",COMBO,ReferenceThenConstantComboUp,azurerm_network_interface.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku_tier == Regional,,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.delegation is null or empty",COMBO,ReferenceThenAbsenceComboUp,azurerm_network_interface.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.delegation == Absence,,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then there is azurerm_network_interface.a.ip_configuration.private_ip_address_version == IPv4",COMBO,ReferenceThenConstantComboDown,azurerm_network_interface.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_network_interface.ip_configuration.private_ip_address_version == IPv4,,,,,
azurerm_network_interface,"If azurerm_network_interface.a.ip_configuration.private_ip_address is not null nor empty, Then azurerm_network_interface.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id",COMBO,ExistenceComboDownThenReference,azurerm_network_interface.ip_configuration.private_ip_address == Existence,azurerm_network_interface.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,,,,,
azurerm_network_interface,"If there is azurerm_network_interface.a.enable_ip_forwarding == true, Then azurerm_network_interface.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id",COMBO,ConstantComboDownThenReference,azurerm_network_interface.enable_ip_forwarding == true,azurerm_network_interface.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,,,,,
azurerm_network_interface_nat_rule_association,"If azurerm_lb.b and azurerm_virtual_network.c connected or associated with each other via azurerm_network_interface_nat_rule_association.a, Then azurerm_lb.a.location == azurerm_virtual_network.b.location",COMBO,AncestorAssociateThenEqualCombo,azurerm_network_interface_nat_rule_association.PLACEHOLDER == String,azurerm_network_interface_nat_rule_association.PLACEHOLDER == String,azurerm_lb.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_lb.location == String,azurerm_virtual_network.location == String,,
azurerm_network_interface_nat_rule_association,"If azurerm_network_interface_nat_rule_association.a.nat_rule_id depends on azurerm_lb_nat_rule.b.id, Then azurerm_lb_nat_rule.b could only have a single azurerm_network_interface_nat_rule_association that is azurerm_network_interface_nat_rule_association.a",TOPO,ReferenceThenConflictChild,azurerm_network_interface_nat_rule_association.nat_rule_id == String,azurerm_lb_nat_rule.id == String,azurerm_network_interface_nat_rule_association.PLACEHOLDER == String,azurerm_lb_nat_rule.PLACEHOLDER == String,,,,
azurerm_network_interface_security_group_association,"If azurerm_network_interface.b and azurerm_network_security_group.c connected or associated with each other via azurerm_network_interface_security_group_association.a, Then azurerm_network_interface.a.location == azurerm_network_security_group.b.location",COMBO,AssociateThenEqualCombo,azurerm_network_interface_security_group_association.network_interface_id == String,azurerm_network_interface_security_group_association.network_security_group_id == String,azurerm_network_interface.id == String,azurerm_network_security_group.id == String,azurerm_network_interface.location == String,azurerm_network_security_group.location == String,,
azurerm_network_security_group,"If azurerm_network_security_group.a.security_rule.direction == azurerm_network_security_group.a.security_rule.direction, Then azurerm_network_security_group.a.security_rule.priority != azurerm_network_security_group.a.security_rule.priority",ATTR,EqualThenUnequal,azurerm_network_security_group.security_rule.direction == String,azurerm_network_security_group.security_rule.direction == String,azurerm_network_security_group.security_rule.priority == String,azurerm_network_security_group.security_rule.priority == String,,,,
azurerm_network_security_group,"If both azurerm_network_security_group.a.resource_group_name and azurerm_network_security_group.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_network_security_group.a.name != azurerm_network_security_group.b.name",COMBO,BranchThenUnequalCombo,azurerm_network_security_group.resource_group_name == String,azurerm_network_security_group.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_network_security_group.name == String,azurerm_network_security_group.name == String,,
azurerm_network_security_group,"If the CIDR range of azurerm_network_security_group.a.security_rule.source_address_prefix contains the CIDR range of azurerm_network_security_group.a.security_rule.source_address_prefix, Then azurerm_network_security_group.a.security_rule.direction == azurerm_network_security_group.a.security_rule.direction",ATTR,CIDRIncludeThenEqual,azurerm_network_security_group.security_rule.source_address_prefix == CIDR,azurerm_network_security_group.security_rule.source_address_prefix == CIDR,azurerm_network_security_group.security_rule.direction == String,azurerm_network_security_group.security_rule.direction == String,,,,
